STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
"TAMIL NADU",KARUR,"JOTHIMANI. S","Indian National Congress",534906,"THANGAVEL. L","All India Anna Dravida Munnetra Kazhagam",368090,166816
"UTTAR PRADESH",AMETHI,"KISHORI LAL","Indian National Congress",539228,"SMRITI IRANI","Bharatiya Janata Party",372032,167196
JHARKHAND,SINGHBHUM,"JOBA MAJHI","Jharkhand Mukti Morcha",520164,"GEETA KORA","Bharatiya Janata Party",351762,168402
BIHAR,NALANDA,"KAUSHALENDRA KUMAR","Janata Dal  (United)",559422,"DR. SANDEEP SAURAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",390308,169114
"WEST BENGAL",HOWRAH,"PRASUN BANERJEE","All India Trinamool Congress",626493,"DR RATHIN CHAKRAVARTY","Bharatiya Janata Party",457051,169442
BIHAR,SUPAUL,"DILESHWAR KAMAIT","Janata Dal  (United)",595038,"CHANDRAHAS CHAUPAL","Rashtriya Janata Dal",425235,169803
BIHAR,HAJIPUR,"CHIRAG PASWAN","Lok Janshakti Party(Ram Vilas)",615718,"SHIV CHANDRA RAM","Rashtriya Janata Dal",445613,170105
"UTTAR PRADESH",KANNAUJ,"AKHILESH YADAV","Samajwadi Party",642292,"SUBRAT PATHAK","Bharatiya Janata Party",471370,170922
PUNJAB,SANGRUR,"GURMEET SINGH MEET HAYER","Aam Aadmi Party",364085,"SUKHPAL SINGH KHAIRA","Indian National Congress",191525,172560
TELANGANA,CHEVELLA,"KONDA VISHWESHWAR REDDY","Bharatiya Janata Party",809882,"DR GADDAM RANJITH REDDY","Indian National Congress",636985,172897
HARYANA,FARIDABAD,"KRISHAN PAL","Bharatiya Janata Party",788569,"MAHENDER PRATAP SINGH","Indian National Congress",615655,172914
"WEST BENGAL",JHARGRAM,"KALIPADA SAREN (KHERWAL)","All India Trinamool Congress",743478,"DR. PRANAT TUDU","Bharatiya Janata Party",569430,174048
"MADHYA PRADESH",BALAGHAT,"BHARTI PARDHI","Bharatiya Janata Party",712660,"SAMRAT ASHOK SINGH SARASWAR","Indian National Congress",538148,174512
BIHAR,MADHEPURA,"DINESH CHANDRA YADAV","Janata Dal  (United)",640649,"DA KUMAR CHANDRADEEP","Rashtriya Janata Dal",466115,174534
"WEST BENGAL",SRERAMPUR,"KALYAN BANERJEE","All India Trinamool Congress",673970,"KABIR SHANKAR BOSE","Bharatiya Janata Party",499140,174830
KARNATAKA,TUMKUR,"V. SOMANNA","Bharatiya Janata Party",720946,"S.P. MUDDAHANUMEGOWDA","Indian National Congress",545352,175594
PUNJAB,JALANDHAR,"CHARANJIT SINGH CHANNI","Indian National Congress",390053,"SUSHIL KUMAR RINKU","Bharatiya Janata Party",214060,175993
BIHAR,DARBHANGA,"GOPAL JEE THAKUR","Bharatiya Janata Party",566630,"LALIT KUMAR YADAV","Rashtriya Janata Dal",388474,178156
JHARKHAND,RAJMAHAL,"VIJAY KUMAR HANSDAK","Jharkhand Mukti Morcha",613371,"TALA MARANDI","Bharatiya Janata Party",435107,178264
KARNATAKA,BELGAUM,"JAGADISH SHETTAR","Bharatiya Janata Party",762029,"MRINAL R HEBBALKAR","Indian National Congress",583592,178437
"WEST BENGAL",DARJEELING,"RAJU BISTA","Bharatiya Janata Party",679331,"GOPAL LAMA","All India Trinamool Congress",500806,178525
"TAMIL NADU",KANNIYAKUMARI,"VIJAYAKUMAR (Alias) VIJAY VASANTH","Indian National Congress",546248,"RADHAKRISHNAN P","Bharatiya Janata Party",366341,179907
"ANDHRA PRADESH",ELURU,"PUTTA MAHESH KUMAR","Telugu Desam",746351,"KARUMURI SUNIL KUMAR","Yuvajana Sramika Rythu Congress Party",564494,181857
"HIMACHAL PRADESH",HAMIRPUR,"ANURAG SINGH THAKUR","Bharatiya Janata Party",607068,"SATPAL RAIZADA","Indian National Congress",424711,182357
"WEST BENGAL",GHATAL,"ADHIKARI DEEPAK (DEV)","All India Trinamool Congress",837990,"DR. HIRANMOY CHATTOPADHYAYA","Bharatiya Janata Party",655122,182868
MAHARASHTRA,PALGHAR,"DR. HEMANT VISHNU SAVARA","Bharatiya Janata Party",601244,"BHARTI BHARAT KAMDI","Shiv Sena (Uddhav Balasaheb Thackrey)",417938,183306
BIHAR,JHANJHARPUR,"RAMPRIT MANDAL","Janata Dal  (United)",533032,"SUMAN KUMAR MAHASETH","Vikassheel Insaan Party",348863,184169
"TAMIL NADU",CUDDALORE,"M.K. VISHNUPRASAD","Indian National Congress",455053,"P. SIVAKOZHUNDU","Desiya Murpokku Dravida Kazhagam",269157,185896
"WEST BENGAL",RANAGHAT,"JAGANNATH SARKAR","Bharatiya Janata Party",782396,"MUKUT MANI ADHIKARI","All India Trinamool Congress",595497,186899
"WEST BENGAL","KOLKATA DAKSHIN","MALA ROY","All India Trinamool Congress",615274,"DEBASREE CHAUDHURI","Bharatiya Janata Party",428043,187231
BIHAR,SAMASTIPUR,SHAMBHAVI,"Lok Janshakti Party(Ram Vilas)",579786,"SUNNY HAZARI","Indian National Congress",392535,187251
"JAMMU & KASHMIR",SRINAGAR,"AGA SYED RUHULLAH MEHDI","Jammu & Kashmir National Conference",356866,"WAHEED UR REHMAN PARA","Jammu & Kashmir Peoples Democratic Party",168450,188416
"ANDHRA PRADESH",ANANTHAPUR,"AMBICA G LAKSHMINARAYANA VALMIKI","Telugu Desam",768245,"MALAGUNDLA SANKAR NARAYANA","Yuvajana Sramika Rythu Congress Party",579690,188555
KARNATAKA,CHAMARAJANAGAR,"SUNIL BOSE","Indian National Congress",751671,BALARAJ.S,"Bharatiya Janata Party",562965,188706
"TAMIL NADU",KRISHNAGIRI,"GOPINATH K","Indian National Congress",492883,"JAYAPRAKASH V","All India Anna Dravida Munnetra Kazhagam",300397,192486
"MADHYA PRADESH",REWA,"JANARDAN MISHRA","Bharatiya Janata Party",477459,"NEELAM ABHAY MISHRA","Indian National Congress",284085,193374
"TAMIL NADU",TENKASI,"DR RANI SRI KUMAR","Dravida Munnetra Kazhagam",425679,"DR K KRISHNASAMY","All India Anna Dravida Munnetra Kazhagam",229480,196199
PUNJAB,"KHADOOR SAHIB","AMRITPAL SINGH",Independent,404430,"KULBIR SINGH ZIRA","Indian National Congress",207310,197120
"WEST BENGAL",BIRBHUM,"SATABDI ROY","All India Trinamool Congress",717961,"DEBTANU BHATTACHARYA","Bharatiya Janata Party",520311,197650
DELHI,"WEST DELHI","KAMALJEET SEHRAWAT","Bharatiya Janata Party",842658,"MAHABAL MISHRA","Aam Aadmi Party",643645,199013
"WEST BENGAL",MATHURAPUR,"BAPI HALDAR","All India Trinamool Congress",755731,"ASHOK PURKAIT","Bharatiya Janata Party",554674,201057
ASSAM,LAKHIMPUR,"PRADAN BARUAH","Bharatiya Janata Party",663122,"UDAY SHANKAR HAZARIKA","Indian National Congress",461865,201257
RAJASTHAN,JALORE,LUMBARAM,"Bharatiya Janata Party",796783,"VAIBHAV GEHLOT","Indian National Congress",595240,201543
"JAMMU & KASHMIR",BARAMULLA,"ABDUL RASHID SHEIKH",Independent,472481,"OMAR ABDULLAH","Jammu & Kashmir National Conference",268339,204142
"TAMIL NADU",SIVAGANGA,"KARTI P CHIDAMBARAM","Indian National Congress",427677,"XAVIERDASS A","All India Anna Dravida Munnetra Kazhagam",222013,205664
"MADHYA PRADESH",SIDHI,"DR. RAJESH MISHRA","Bharatiya Janata Party",583559,"KAMLESHWAR INDRAJIT KUMAR","Indian National Congress",377143,206416
"MADHYA PRADESH",RATLAM,"ANITA NAGARSINGH CHOUHAN","Bharatiya Janata Party",795863,"KANTILAL BHURIA","Indian National Congress",588631,207232
"ANDHRA PRADESH",BAPATLA,"KRISHNA PRASAD TENNETI","Telugu Desam",717493,"NANDIGAM SURESH BABU","Yuvajana Sramika Rythu Congress Party",509462,208031
"TAMIL NADU",ARANI,"THARANIVENTHAN M S","Dravida Munnetra Kazhagam",500099,"GAJENDRAN G.V.","All India Anna Dravida Munnetra Kazhagam",291333,208766
"TAMIL NADU",NAGAPATTINAM,"SELVARAJ V","Communist Party of India",465044,"DR SURSITH SANKAR G","All India Anna Dravida Munnetra Kazhagam",256087,208957
MAHARASHTRA,KALYAN,"DR SHRIKANT EKNATH SHINDE","Shiv Sena",589636,"VAISHALI DAREKAR - RANE","Shiv Sena (Uddhav Balasaheb Thackrey)",380492,209144
"TAMIL NADU",MADURAI,"VENKATESAN S","Communist Party of India  (Marxist)",430323,"RAAMA SREENIVASAN","Bharatiya Janata Party",220914,209409
GUJARAT,VALSAD,"DHAVAL LAXMANBHAI  PATEL","Bharatiya Janata Party",764226,"ANANTKUMAR HASMUKHBHAI PATEL","Indian National Congress",553522,210704
ASSAM,NAGAON,"PRADYUT BORDOLOI","Indian National Congress",788850,"SURESH BORAH","Bharatiya Janata Party",576619,212231
"TAMIL NADU",VELLORE,"DM KATHIR ANAND","Dravida Munnetra Kazhagam",568692,"AC SHANMUGAM","Bharatiya Janata Party",352990,215702
"UTTAR PRADESH",BARABANKI,"TANUJ PUNIA","Indian National Congress",719927,"RAJRANI RAWAT","Bharatiya Janata Party",504223,215704
MAHARASHTRA,THANE,"NARESH GANPAT MHASKE","Shiv Sena",734231,"RAJAN BABURAO VICHARE","Shiv Sena (Uddhav Balasaheb Thackrey)",517220,217011
"MADHYA PRADESH",DHAR,"SAVITRI THAKUR","Bharatiya Janata Party",794449,"RADHESHYAM MUVEL","Indian National Congress",575784,218665
"WEST BENGAL",ULUBERIA,"SAJDA AHMED","All India Trinamool Congress",724622,"ARUNUDAY PAULCHOWDHURY","Bharatiya Janata Party",505949,218673
ODISHA,MAYURBHANJ,"NABA CHARAN MAJHI","Bharatiya Janata Party",585971,"SUDAM MARNDI","Biju Janata Dal",366637,219334
TELANGANA,WARANGAL,"KADIYAM KAVYA","Indian National Congress",581294,"AROORI RAMESH","Bharatiya Janata Party",360955,220339
"ANDHRA PRADESH",CHITTOOR,"DAGGUMALLA PRASADA RAO","Telugu Desam",778071,"REDDEPPA.N .","Yuvajana Sramika Rythu Congress Party",557592,220479
JHARKHAND,CHATRA,"KALI CHARAN SINGH","Bharatiya Janata Party",574556,"KRISHNA NAND TRIPATHI","Indian National Congress",353597,220959
"TAMIL NADU",KANCHEEPURAM,"SELVAM. G","Dravida Munnetra Kazhagam",586044,"RAJASEKAR. E","All India Anna Dravida Munnetra Kazhagam",364571,221473
"UTTAR PRADESH",MAINPURI,"DIMPLE YADAV","Samajwadi Party",598526,"JAYVEER SINGH","Bharatiya Janata Party",376887,221639
TELANGANA,BHONGIR,"CHAMALA KIRAN KUMAR REDDY","Indian National Congress",629143,"DR. BOORA NARSAIAH GOUD","Bharatiya Janata Party",406973,222170
ASSAM,BARPETA,"PHANI BHUSAN CHOUDHURY","Asom Gana Parishad",860113,"DEEP BAYAN","Indian National Congress",637762,222351
"ANDHRA PRADESH",MACHILIPATNAM,"BALASHOWRY VALLABHANENI","Janasena Party",724439,"SIMHADRI CHANDRA SEKHAR RAO","Yuvajana Sramika Rythu Congress Party",501260,223179
TELANGANA,KARIMNAGAR,"BANDI SANJAY KUMAR","Bharatiya Janata Party",585116,"VELCHALA RAJENDER RAO","Indian National Congress",359907,225209
"TAMIL NADU","CHENNAI SOUTH","T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN","Dravida Munnetra Kazhagam",516628,"DR.TAMILISAI SOUNDARARAJAN","Bharatiya Janata Party",290683,225945
"ANDHRA PRADESH",KAKINADA,"TANGELLA UDAY SRINIVAS  (TEA TIME UDAY)","Janasena Party",729699,"CHALAMALASETTY SUNIL","Yuvajana Sramika Rythu Congress Party",500208,229491
GUJARAT,BARDOLI,"PARBHUBHAI NAGARBHAI VASAVA","Bharatiya Janata Party",763950,"CHAUDHARY SIDDHARTH AMARSINH","Indian National Congress",533697,230253
HARYANA,KARNAL,"MANOHAR LAL","Bharatiya Janata Party",739285,"DIVYANSHU BUDHIRAJA","Indian National Congress",506708,232577
"TAMIL NADU",TIRUVANNAMALAI,"ANNADURAI C.N.","Dravida Munnetra Kazhagam",547379,"KALIYAPERUMAL M","All India Anna Dravida Munnetra Kazhagam",313448,233931
UTTARAKHAND,ALMORA,"AJAY TAMTA","Bharatiya Janata Party",429167,"PRADEEP TAMTA","Indian National Congress",195070,234097
BIHAR,MUZAFFARPUR,"RAJ BHUSHAN CHOUDHARY","Bharatiya Janata Party",619749,"AJAY NISHAD","Indian National Congress",384822,234927
KERALA,PONNANI,"DR. M.P ABDUSSAMAD SAMADANI","Indian Union Muslim League",562516,"K.S HAMZA","Communist Party of India  (Marxist)",326756,235760
"TAMIL NADU",ERODE,"K E PRAKASH","Dravida Munnetra Kazhagam",562339,"ASHOK KUMAR","All India Anna Dravida Munnetra Kazhagam",325773,236566
RAJASTHAN,DAUSA,"MURARI LAL MEENA","Indian National Congress",646266,"KANHAIYA LAL MEENA","Bharatiya Janata Party",408926,237340
GUJARAT,JAMNAGAR,"POONAMBEN HEMATBHAI MAADAM","Bharatiya Janata Party",620049,"ADVOCATE J. P. MARAVIYA","Indian National Congress",382041,238008
"ANDHRA PRADESH",RAJAHMUNDRY,"DAGGUBATI PURANDHESHWARI","Bharatiya Janata Party",726515,"DR. GUDURI SRINIVAS","Yuvajana Sramika Rythu Congress Party",487376,239139
CHHATTISGARH,RAIGARH,"RADHESHYAM RATHIYA","Bharatiya Janata Party",808275,"DR. MENKA DEVI SINGH","Indian National Congress",567884,240391
"TAMIL NADU",NILGIRIS,"RAJA A","Dravida Munnetra Kazhagam",473212,"DR MURUGAN L","Bharatiya Janata Party",232627,240585
KARNATAKA,SHIMOGA,B.Y.RAGHAVENDRA,"Bharatiya Janata Party",778721,"GEETHA SHIVARAJKUMAR","Indian National Congress",535006,243715
"TAMIL NADU","CHENNAI CENTRAL","DAYANIDHI MARAN","Dravida Munnetra Kazhagam",413848,VINOJ,"Bharatiya Janata Party",169159,244689
RAJASTHAN,PALI,"P. P. CHAUDHARY","Bharatiya Janata Party",757389,"SANGEETA BENIWAL","Indian National Congress",512038,245351
"ANDHRA PRADESH",NELLORE,"PRABHAKAR REDDY VEMIREDDY","Telugu Desam",766202,"VENUMBAKA VIJAYASAI REDDY","Yuvajana Sramika Rythu Congress Party",520300,245902
RAJASTHAN,BANSWARA,"RAJ KUMAR ROAT","Bharat Adivasi Party",820831,"MAHENDRAJEETSINGH MALVIYA","Bharatiya Janata Party",573777,247054
"UTTAR PRADESH",HATHRAS,"ANOOP PRADHAN BALMIKI","Bharatiya Janata Party",554746,"JASVEER VALMIKI","Samajwadi Party",307428,247318
ASSAM,KAZIRANGA,"KAMAKHYA PRASAD TASA","Bharatiya Janata Party",897043,"ROSELINA TIRKEY","Indian National Congress",648096,248947
"ANDHRA PRADESH",VIZIANAGARAM,"APPALANAIDU KALISETTI","Telugu Desam",743113,"BELLANA CHANDRASEKHAR","Yuvajana Sramika Rythu Congress Party",493762,249351
KERALA,ERNAKULAM,"HIBI EDEN","Indian National Congress",482317,"K. J. SHINE TEACHER","Communist Party of India  (Marxist)",231932,250385
ASSAM,GUWAHATI,"BIJULI KALITA  MEDHI","Bharatiya Janata Party",894887,"MIRA BORTHAKUR GOSWAMI","Indian National Congress",643797,251090
MAHARASHTRA,JALGAON,"SMITA UDAY WAGH","Bharatiya Janata Party",674428,"KARAN BALASAHEB PATIL - PAWAR","Shiv Sena (Uddhav Balasaheb Thackrey)",422834,251594
ODISHA,BARGARH,"PRADEEP PUROHIT","Bharatiya Janata Party",716359,"PARINITA MISHRA","Biju Janata Dal",464692,251667
"HIMACHAL PRADESH",KANGRA,"DR RAJEEV BHARDWAJ","Bharatiya Janata Party",632793,"ANAND SHARMA","Indian National Congress",380898,251895
"TAMIL NADU",POLLACHI,"ESWARASAMY K","Dravida Munnetra Kazhagam",533377,"KARTHIKEYAN A","All India Anna Dravida Munnetra Kazhagam",281335,252042
"WEST BENGAL",JADAVPUR,"SAYANI GHOSH","All India Trinamool Congress",717899,"DR. ANIRBAN GANGULY","Bharatiya Janata Party",459698,258201
KARNATAKA,"UDUPI CHIKMAGALUR","KOTA SRINIVAS POOJARY","Bharatiya Janata Party",732234,"K. JAYAPRAKASH HEGDE","Indian National Congress",473059,259175
KARNATAKA,"BANGALORE NORTH","SHOBHA KARANDLAJE","Bharatiya Janata Party",986049,"PROFESSOR M.V RAJEEV GOWDA","Indian National Congress",726573,259476
JHARKHAND,JAMSHEDPUR,"BIDYUT BARAN MAHATO","Bharatiya Janata Party",726174,"SAMIR KUMAR MOHANTY","Jharkhand Mukti Morcha",466392,259782
MAHARASHTRA,CHANDRAPUR,"DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","Indian National Congress",718410,"MUNGANTIWAR SUDHIR SACCHIDANAND","Bharatiya Janata Party",458004,260406
RAJASTHAN,UDAIPUR,"MANNA LAL RAWAT","Bharatiya Janata Party",738286,"TARACHAND MEENA","Indian National Congress",476678,261608
GUJARAT,SURENDRANAGAR,"CHANDUBHAI CHHAGANBHAI SHIHORA","Bharatiya Janata Party",669749,"RUTVIKBHAI LAVJIBHAI MAKWANA","Indian National Congress",408132,261617
ASSAM,SILCHAR,"PARIMAL SUKLABAIDYA","Bharatiya Janata Party",652405,"SURYA KANTA SARKAR","Indian National Congress",388094,264311
HARYANA,SIRSA,SELJA,"Indian National Congress",733823,"ASHOK TANWAR","Bharatiya Janata Party",465326,268497
GUJARAT,KACHCHH,"CHAVDA VINOD LAKHAMSHI","Bharatiya Janata Party",659574,"NITESH PARBATBHAI LALAN (MATANG)","Indian National Congress",390792,268782
KARNATAKA,"BANGALORE RURAL","DR C N MANJUNATH","Bharatiya Janata Party",1079002,"D K SURESH","Indian National Congress",809355,269647
"MADHYA PRADESH",KHANDWA,"GYANESHWAR PATIL","Bharatiya Janata Party",862679,"NARENDRA PATEL","Indian National Congress",592708,269971
"TAMIL NADU",MAYILADUTHURAI,"SUDHA R","Indian National Congress",518459,"BABU P","All India Anna Dravida Munnetra Kazhagam",247276,271183
"UTTAR PRADESH",AGRA,"PROF S P SINGH BAGHEL","Bharatiya Janata Party",599397,"SURESH CHAND KARDAM","Samajwadi Party",328103,271294
MAHARASHTRA,RAVER,"KHADSE RAKSHA NIKHIL","Bharatiya Janata Party",630879,"SHRIRAM DAYARAM PATIL","Nationalist Congress Party – Sharadchandra Pawar",358696,272183
UTTARAKHAND,"TEHRI GARHWAL","MALA RAJYA LAKSHMI SHAH","Bharatiya Janata Party",462603,"JOT SINGH GUNSOLA","Indian National Congress",190110,272493
"UTTAR PRADESH",BULANDSHAHR,"DR BHOLA SINGH","Bharatiya Janata Party",597310,SHIVRAM,"Indian National Congress",322176,275134
JHARKHAND,HAZARIBAGH,"MANISH JAISWAL","Bharatiya Janata Party",654613,"JAI PRAKASH BHAI PATEL","Indian National Congress",377927,276686
"ANDHRA PRADESH",NARSAPURAM,"BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA)","Bharatiya Janata Party",707343,"UMABALA GUDURI","Yuvajana Sramika Rythu Congress Party",430541,276802
KARNATAKA,"BANGALORE SOUTH","TEJASVI SURYA","Bharatiya Janata Party",750830,"SOWMYA REDDY","Indian National Congress",473747,277083
"TAMIL NADU",THENI,"THANGA TAMILSELVAN","Dravida Munnetra Kazhagam",571493,"TTV DHINAKARAN","Amma Makkal Munnettra Kazagam",292668,278825
ASSAM,DIBRUGARH,"SARBANANDA SONOWAL","Bharatiya Janata Party",693762,"LURINJYOTI GOGOI","Assam Jatiya Parishad",414441,279321
"JAMMU & KASHMIR",ANANTNAG-RAJOURI,"MIAN ALTAF AHMAD","Jammu & Kashmir National Conference",521836,"MEHBOOBA MUFTI","Jammu & Kashmir Peoples Democratic Party",240042,281794
"ANDHRA PRADESH",VIJAYAWADA,"KESINENI SIVANATH (CHINNI)","Telugu Desam",794154,"KESINENI SRINIVAS  (NANI)","Yuvajana Sramika Rythu Congress Party",512069,282085
KARNATAKA,MANDYA,"H.D. KUMARASWAMY","Janata Dal  (Secular)",851881,"VENKATARAMANE GOWDA (STAR CHANDRU)","Indian National Congress",567261,284620
GUJARAT,"AHMEDABAD WEST","DINESHBHAI MAKWANA (ADVOCATE)","Bharatiya Janata Party",611704,"BHARAT YOGENDRA MAKWANA","Indian National Congress",325267,286437
JHARKHAND,PALAMAU,"VISHNU DAYAL RAM","Bharatiya Janata Party",770362,"MAMTA BHUIYAN","Rashtriya Janata Dal",481555,288807
DELHI,"NORTH-WEST DELHI","YOGENDER CHANDOLIYA","Bharatiya Janata Party",866483,"UDIT RAJ","Indian National Congress",575634,290849
"UTTAR PRADESH",MATHURA,"HEMAMALINI DHARMENDRA DEOL","Bharatiya Janata Party",510064,"MUKESH DHANGAR","Indian National Congress",216657,293407
"ANDHRA PRADESH",ANAKAPALLE,C.M.RAMESH,"Bharatiya Janata Party",762069,"BUDI MUTYALA NAIDU","Yuvajana Sramika Rythu Congress Party",465539,296530
KERALA,MALAPPURAM,"E.T.  MOHAMMED BASHEER","Indian Union Muslim League",644006,"V. VASEEF","Communist Party of India  (Marxist)",343888,300118
"TAMIL NADU",ARAKKONAM,"S JAGATHRATCHAKAN","Dravida Munnetra Kazhagam",563216,"L VIJAYAN","All India Anna Dravida Munnetra Kazhagam",256657,306559
"TAMIL NADU",TIRUCHIRAPPALLI,"DURAI VAIKO","Marumalarchi Dravida Munnetra Kazhagam",542213,"KARUPPAIAH. P","All India Anna Dravida Munnetra Kazhagam",229119,313094
"TAMIL NADU",THANJAVUR,"MURASOLI S","Dravida Munnetra Kazhagam",502245,"SIVANESAN P","Desiya Murpokku Dravida Kazhagam",182662,319583
GUJARAT,AMRELI,"BHARATBHAI MANUBHAI SUTARIYA","Bharatiya Janata Party",580872,"JENNY THUMMAR","Indian National Congress",259804,321068
"WEST BENGAL",BOLPUR,"ASIT KUMAR MAL","All India Trinamool Congress",855633,"PIYA SAHA","Bharatiya Janata Party",528380,327253
"ANDHRA PRADESH",SRIKAKULAM,"KINJARAPU RAMMOHAN NAIDU","Telugu Desam",754328,"TILAK PERADA","Yuvajana Sramika Rythu Congress Party",426427,327901
GUJARAT,MAHESANA,"HARIBHAI PATEL","Bharatiya Janata Party",686406,"RAMJI THAKOR","Indian National Congress",358360,328046
ASSAM,DARRANG-UDALGURI,"DILIP SAIKIA","Bharatiya Janata Party",868387,"MADHAB RAJBANGSHI","Indian National Congress",539375,329012
MAHARASHTRA,OSMANABAD,"OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",748752,"ARCHANA RANAJAGJITSINH PATIL","Nationalist Congress Party",418906,329846
RAJASTHAN,AJMER,"BHAGIRATH CHOUDHARY","Bharatiya Janata Party",747462,"RAMCHANDRA CHOUDHARY","Indian National Congress",417471,329991
JHARKHAND,DHANBAD,"DULU MAHATO","Bharatiya Janata Party",789172,"ANUPAMA SINGH","Indian National Congress",457589,331583
RAJASTHAN,JAIPUR,"MANJU SHARMA","Bharatiya Janata Party",886850,"PRATAP SINGH KHACHARIYAWAS","Indian National Congress",555083,331767
"WEST BENGAL",BASIRHAT,"SK NURUL ISLAM","All India Trinamool Congress",803762,"REKHA PATRA","Bharatiya Janata Party",470215,333547
GUJARAT,DAHOD,"JASWANTSINH SUMANBHAI BHABHOR","Bharatiya Janata Party",688715,"DR. PRABHABEN KISHORSINH TAVIYAD","Indian National Congress",355038,333677
UTTARAKHAND,"NAINITAL-UDHAMSINGH NAGAR","AJAY BHATT","Bharatiya Janata Party",772671,"PRAKASH JOSHI","Indian National Congress",438123,334548
"UTTAR PRADESH",GHAZIABAD,"ATUL GARG","Bharatiya Janata Party",854170,"DOLLY SHARMA","Indian National Congress",517205,336965
KARNATAKA,"UTTARA KANNADA","VISHWESHWAR HEGDE KAGERI","Bharatiya Janata Party",782495,"DR. ANJALI NIMBALKAR","Indian National Congress",445067,337428
TELANGANA,HYDERABAD,"ASADUDDIN OWAISI","All India Majlis-E-Ittehadul Muslimeen",661981,"MADHAVI LATHA KOMPELLA","Bharatiya Janata Party",323894,338087
"TAMIL NADU","CHENNAI NORTH","DR.KALANIDHI VEERASWAMY","Dravida Munnetra Kazhagam",497333,"R. MANOHAR","All India Anna Dravida Munnetra Kazhagam",158111,339222
"ANDHRA PRADESH",AMALAPURAM,"G M HARISH (BALAYOGI)","Telugu Desam",796981,"RAPAKA VARAPRASADA RAO","Yuvajana Sramika Rythu Congress Party",454785,342196
"ANDHRA PRADESH",GUNTUR,"DR CHANDRA SEKHAR PEMMASANI","Telugu Desam",864948,"KILARI VENKATA ROSAIAH","Yuvajana Sramika Rythu Congress Party",520253,344695
HARYANA,ROHTAK,"DEEPENDER SINGH HOODA","Indian National Congress",783578,"DR. ARVIND KUMAR SHARMA","Bharatiya Janata Party",438280,345298
TELANGANA,MAHABUBABAD,"BALRAM NAIK PORIKA","Indian National Congress",612774,"KAVITHA MALOTH","Bharat Rashtra Samithi",263609,349165
RAJASTHAN,BHILWARA,"DAMODAR AGARWAL","Bharatiya Janata Party",807640,"C P JOSHI","Indian National Congress",453034,354606
MAHARASHTRA,"MUMBAI NORTH","PIYUSH GOYAL","Bharatiya Janata Party",680146,"BHUSHAN PATIL","Indian National Congress",322538,357608
GUJARAT,KHEDA,"DEVUSINH CHAUHAN","Bharatiya Janata Party",744435,"KALUSINH DABHI","Indian National Congress",386677,357758
ASSAM,SONITPUR,"RANJIT DUTTA","Bharatiya Janata Party",775788,"PREMLAL GANJU","Indian National Congress",414380,361408
KERALA,WAYANAD,"RAHUL GANDHI","Indian National Congress",647445,"ANNIE RAJA","Communist Party of India",283023,364422
RAJASTHAN,JHALAWAR-BARAN,"DUSHYANT SINGH","Bharatiya Janata Party",865376,"URMILA JAIN “BHAYA”","Indian National Congress",494387,370989
MEGHALAYA,SHILLONG,"DR. RICKY ANDREW J. SYNGKON","Voice of the People Party",571078,"VINCENT H. PALA","Indian National Congress",199168,371910
"MADHYA PRADESH",UJJAIN,"ANIL FIROJIYA","Bharatiya Janata Party",836104,"MAHESH PARMAR","Indian National Congress",460244,375860
JHARKHAND,KODARMA,"ANNPURNA DEVI","Bharatiya Janata Party",791657,"VINOD KUMAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",414643,377014
"MADHYA PRADESH",BETUL,"DURGADAS (D. D.) UIKEY","Bharatiya Janata Party",848236,"RAMU TEKAM","Indian National Congress",468475,379761
GUJARAT,PORBANDAR,"DR. MANSUKH MANDAVIYA","Bharatiya Janata Party",633118,"LALIT VASOYA","Indian National Congress",249758,383360
"TAMIL NADU",PERAMBALUR,"ARUN NEHRU","Dravida Munnetra Kazhagam",603209,"CHANDRAMOHAN N D","All India Anna Dravida Munnetra Kazhagam",214102,389107
RAJASTHAN,CHITTORGARH,"CHANDRA PRAKASH JOSHI","Bharatiya Janata Party",888202,"ANJANA UDAILAL","Indian National Congress",498325,389877
"UTTAR PRADESH","RAE BARELI","RAHUL GANDHI","Indian National Congress",687649,"DINESH PRATAP SINGH","Bharatiya Janata Party",297619,390030
TELANGANA,MALKAJGIRI,"EATALA RAJENDER","Bharatiya Janata Party",991042,"PATNAM SUNEETHA MAHENDER REDDY","Indian National Congress",599567,391475
RAJASTHAN,RAJSAMAND,"MAHIMA KUMARI MEWAR","Bharatiya Janata Party",781203,"DR. DAMODAR GURJAR","Indian National Congress",388980,392223
"TAMIL NADU",THOOTHUKKUDI,"KANIMOZHI KARUNANIDHI","Dravida Munnetra Kazhagam",540729,"SIVASAMY VELUMANI R","All India Anna Dravida Munnetra Kazhagam",147991,392738
